	../variants/ENV-COV-24-1837_S37.tsv
summarized	[('BA.2.86* (BA.2.86.X)', 0.9989057861708334), ('KP.2* (KP.2.X)', 0.0008046613381147729), ('Other', 0.0002049851009287348), ('KP.3* (KP.3.X)', 8.453018611805942e-05)]
lineages	JN.1.48.3 LF.9 KP.2.2 LR.1 XDW JN.13 ML.1 JN.1.49.1 MD.1.2 XEZ KP.4.2.3 KP.4.2.2 JN.2 KP.4.2.1
abundances	0.85659500 0.14127756 0.00080466 0.00066722 0.00014828 0.00011434 0.00008453 0.00008023 0.00007176 0.00005670 0.00004872 0.00003864 0.00000736 0.00000495
resid	10.226047928239579
coverage	95.89004447714277
