	../variants/ENV_COV_24_2537_S12.tsv
summarized	[('LB.1* (LB.1.X)', 0.8135589029972794), ('BA.2.86* (BA.2.86.X)', 0.18337848876866927), ('KP.3* (KP.3.X)', 0.0025104438977582343), ('KP.3.1.1* (KP.3.1.1.X)', 0.0005510590775632604), ('Other', 9.713170601719455e-07), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 7.744224550870634e-07), ('Delta', 3.898954579766071e-07), ('Omicron', 2.922654408146225e-07), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 1.93853088792351e-07), ('XEC* (XEC.X)', 1.331686658067935e-07)]
lineages	LB.1.3.4 JN.1.4.9 JN.1.16 LB.1.3 JN.1.30 KU.2 JN.6 KP.3.1.5 KP.3.1.3 KP.3.1.7 MD.2 MC.35 JN.1.38 JN.1.63.1 JN.1.54.1 JN.1.64 HZ.3 B.1.1.310 AY.112.2 B.1.146 BQ.1.1.29 XBB.1.16.28 XEC.9
abundances	0.80882399 0.08764734 0.08764734 0.00473491 0.00305056 0.00245396 0.00118868 0.00087247 0.00086459 0.00077339 0.00065403 0.00055106 0.00031328 0.00020872 0.00013280 0.00008178 0.00000077 0.00000064 0.00000039 0.00000033 0.00000029 0.00000019 0.00000013
resid	8.867960082889152
coverage	78.94191218272414
