	../variants/ENV_COV_24_2060_S1.tsv
summarized	[('LB.1* (LB.1.X)', 0.5922087955682426), ('BA.2.86* (BA.2.86.X)', 0.4069625207662346), ('Omicron', 0.00044320399482792607), ('Other', 0.00022200296765178211), ('JN.1.18* (JN.1.18.X)', 0.00016347902189365712)]
lineages	LB.1.3 JN.1.52 JN.1.54.1 JN.1.46 NL.3 XFF LF.7.5 MD.4.1 B.1.258.9 BA.2.86.7 LB.1.4.1 LQ.1.2 BF.11.3 KR.4 LF.9 KU.2.1 BA.5.6.2 LP.1.2.1 B.1.541
abundances	0.59180206 0.40529173 0.00042476 0.00024504 0.00023089 0.00023020 0.00020300 0.00019900 0.00019399 0.00018300 0.00017584 0.00016348 0.00015392 0.00013425 0.00012598 0.00010942 0.00005908 0.00004633 0.00002802
resid	19.027976307886174
coverage	75.89539511085844
