	../variants/ENV_COV_24_2490_S107.tsv
summarized	[('LB.1* (LB.1.X)', 0.9987077274264377), ('KP.2* (KP.2.X)', 0.0006213770976045507), ('KP.3.1.1* (KP.3.1.1.X)', 0.00028802615573783364), ('JN.1.18* (JN.1.18.X)', 0.00016097352415474532), ('Omicron', 7.459400900358994e-05), ('BA.2.86* (BA.2.86.X)', 6.839162159531361e-05), ('Other', 4.5511352806414636e-05), ('XBB* (XBB.X)', 3.347548703188967e-05)]
lineages	NZ.1 MC.32.1 NG.1 KP.2.3.6 KP.2.3.2 LQ.3 KP.2.15.1 MA.1.2 KP.2.3.11 CP.8.1 KP.4.2.3 FE.1.2 XDR KP.4.2.4 CP.1.1 XDZ
abundances	0.99870773 0.00028803 0.00027624 0.00010439 0.00009714 0.00009433 0.00008821 0.00006664 0.00005539 0.00005135 0.00004428 0.00003348 0.00003142 0.00002411 0.00002324 0.00001409
resid	16.586845131006946
coverage	73.57121359060963
